AIPPM,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Serial No.,Character ,Party/Affiliation ,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
1,Narendra Modi,Bharatiya Janata Party,,,,,,,,,,,,,,,,,,,,,,
2,Amit Shah,Bharatiya Janata Party,,,,,,,,,,,,,,,,,,,,,,
3,L K Advani,Bharatiya Janata Party,,,,,,,,,,,,,,,,,,,,,,
4,Sushma Swaraj,Bharatiya Janata Party,,,,,,,,,,,,,,,,,,,,,,
5,Pramod Mahajan,Bharatiya Janata Party,,,,,,,,,,,,,,,,,,,,,,
6,B S Yeddyurappa,Bharatiya Janata Party,,,,,,,,,,,,,,,,,,,,,,
7,Yashwant Sinha,Bharatiya Janata Party,,,,,,,,,,,,,,,,,,,,,,
8,Nitin Gadkari,Bharatiya Janata Party,,,,,,,,,,,,,,,,,,,,,,
9,Rajnath Singh,Bharatiya Janata Party,,,,,,,,,,,,,,,,,,,,,,
10,Yogi Adityanath,Bharatiya Janata Party,,,,,,,,,,,,,,,,,,,,,,
11,Arun Jaitley,Bharatiya Janata Party,,,,,,,,,,,,,,,,,,,,,,
12,Suresh Prabhu,Bharatiya Janata Party,,,,,,,,,,,,,,,,,,,,,,
13,Subramanian Swamy,Bharatiya Janata Party,,,,,,,,,,,,,,,,,,,,,,
14,Shivraj Singh Chouhan,Bharatiya Janata Party,,,,,,,,,,,,,,,,,,,,,,
15,Maenka Gandhi,Bharatiya Janata Party,,,,,,,,,,,,,,,,,,,,,,
16,Nirmala Sitharaman,Bharatiya Janata Party,,,,,,,,,,,,,,,,,,,,,,
17,Mukhtar Abbas Naqvi,Bharatiya Janata Party,,,,,,,,,,,,,,,,,,,,,,
18,Sarbananda Sonowal,Bharatiya Janata Party,,,,,,,,,,,,,,,,,,,,,,
19,Raman Singh,Bharatiya Janata Party,,,,,,,,,,,,,,,,,,,,,,
20,Smriti Irani,Bharatiya Janata Party,,,,,,,,,,,,,,,,,,,,,,
21,Manohar Lal Khattar,Bharatiya Janata Party,,,,,,,,,,,,,,,,,,,,,,
22,Kummanam Rajasekharan,Bharatiya Janata Party,,,,,,,,,,,,,,,,,,,,,,
23,Devendra Fadnavis,Bharatiya Janata Party,,,,,,,,,,,,,,,,,,,,,,
24,Vasundhara Raje,Bharatiya Janata Party,,,,,,,,,,,,,,,,,,,,,,
25,Trivendra Singh Rawat,Bharatiya Janata Party,,,,,,,,,,,,,,,,,,,,,,
26,Giriraj Singh,Bharatiya Janata Party,,,,,,,,,,,,,,,,,,,,,,
27,Uma Bharati,Bharatiya Janata Party,,,,,,,,,,,,,,,,,,,,,,
28,Meenakshi Lekhi,Bharatiya Janata Party,,,,,,,,,,,,,,,,,,,,,,
29,Manohar Parikkar,Bharatiya Janata Party,,,,,,,,,,,,,,,,,,,,,,
30,Varun Gandhi,Bharatiya Janata Party,,,,,,,,,,,,,,,,,,,,,,
31,Alphons Kannanthanam,Bharatiya Janata Party,,,,,,,,,,,,,,,,,,,,,,
32,Ravi Shankar Prasad,Bharatiya Janata Party,,,,,,,,,,,,,,,,,,,,,,
33,Jagat Prakash Nadda,Bharatiya Janata Party,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
34,Rahul Gandhi,Indian National Congress,,,,,,,,,,,,,,,,,,,,,,
35,Sonia Gandhi,Indian National Congress,,,,,,,,,,,,,,,,,,,,,,
36,Manmohan Singh,Indian National Congress,,,,,,,,,,,,,,,,,,,,,,
37,Shashi Thaoor,Indian National Congress,,,,,,,,,,,,,,,,,,,,,,
38,P Chidambaram,Indian National Congress,,,,,,,,,,,,,,,,,,,,,,
