,,European Council (EC),,
,,,,
Serial No.,Countries,Character,Position,
,,,,
1,Austria,Sebastian Kurz,Federal Chancellor,
2,Belgium,Charles Michel,Prime Minister,
3,Bulgaria,Boyko Borisov,Minister-President,
4,Croatia,Andrej Plenkovi?,President,
5,Cyprus,Nicos Anastasiades,President,
6,Czech Republic,Andrej Babiš,Chairman of the Govt.,
7,Denmark,Lars Løkke Rasmussen,Minister of State,
8,Estonia,Juri Ratas,Head Minister,
9,Finland,Juha Sipila,Minister of State,
10,France,Emmanuel Macron,President,
11,Germany,Angela Merkel,Federal Chancellor,
12,Greece,Alexis Tsipras,President,
13,Hungary,Viktor Orbán,Minister-President,
14,Ireland,Leo Varadkar,Prime Minister,
15,Italy,Giuseppe Conte,President,
16,Latvia ,M?ris Ku?inskis,Minister-President,
17,Lithuania,Dalia Grybauskait?,President,
18,Luxembourg,Xavier Bettel ,Prime Minister,
19,Malta,Joseph Muscat,Prime Minister,
20,Netherlands,Mark Rutte,Minister-President,
21,Poland,Mateusz Morawiecki,President,
22,Portugal,António Costa,Prime Minister,
23,Romania,Klaus Iohannis,President,
24,Slovakia,Peter Pellegrini,Chairman of the Govt.,
25,Slovenia,Marjan Šarec,President,
26,Spain,Pedro Sánchez,President,
27,Sweden,Stefan Löfven,Minister of State,
28,United Kingdom,Theresa May,Prime Minister,
29,European Central Bank,Organisation,Observer,
