"Manmohan Singh, Indian National Congress"
"P Chidambaram, Indian National Congress"
"Salman Khursheed, Indian National Congress"
"Shashi Thaoor, Indian National Congress"
"Sonia Gandhi, Indian National Congress"
"Priyanka Gandhi, Indian National Congress"
"A. Navaneethakrishnan, All India Dravida Munnetra Kazhagam"
"E. Madhusudhanan, All India Dravida Munnetra Kazhagam"
"Edappadi K. Palaniswami, All India Dravida Munnetra Kazhagam"
"O. Panneerselvam, All India Dravida Munnetra Kazhagam"
"Akhilesh Yadav, Samajhwadi Party"
"Prem Chand Gupta, Rashtriya Janata Dal"
"Raghuvansh Prasad Singh, Rashtriya Janata Dal"
"Tejashwi Yadav, Rashtriya Janata Dal"
"Mamta Banerjee, All India Trinamool Congress"
"Derek O'Brian, All India Trinamool Congress"
"Partha Chatterjee, All India Trinamool Congress"
"Deepak Bajpai, Aam Aadmi Party"
"Arvind Kejriwal, Aam Aadmi Party"
"Pinarayi Vijayan, Communist Party of India(M)"
"Prakash Karat, Communist Party of India(M)"
"Nitish Kumar, Janata Dal"
"Sharad Yadav, Janata Dal"
"Anil Kumar Sahani, Janata Dal"
"Harivansh Narayan Singh, Janata Dal"
"Anandrao Vithoba Adsul, Shiv Sena"
"Uddhav Thackeray, Shiv Sena"
"Sanjay Raut, Shiv Sena"
"Aditya Thackrey, Shiv Sena"
"Kanam Rajendran, Communist Party of India"
"C N Jayadevan, Communist Party of India"
"Mayawati, Bahujan Samaj Party"
"Satish Mishra, Bahujan Samaj Party"
"Swami Prasad Maurya, Bahujan Samaj Party"
"Omar Abdullah, J&K National Conference"
"Mehbooba Mufti, J&K Peoples Democratic Party"
"Hemant Soren, Jharkhand Mukti Morcha"
"Sharad Pawar, Nationalist Congress Party"
"Supriya Sule, Nationalist Congress Party"
"Ramvilas Paswan, Lok Janshakti Party"
"Chirag Paswan, Lok Janshakti Party"
"A. P. Jithender Reddy, Telangana Rashtra Samithi"
"MK Stalin, Dravida Munnetra Kazhagam"
"K. Anbazhagan, Dravida Munnetra Kazhagam"
"Raj Thackrey, Maharashtra Navnirman Sena"
"Jitan Ram Manjhi, Hindutva Awam Morcha"
"PC George, Independent"
"K M Mani, Kerala Congress(M)"
"P K Kunhalikutty, Indian Union Muslim League"
"Dushyant Chautala, Indian National Lok Dal"
"Seeman, Naam Tamilar Katchi"
