UNSC,,
,,
SL. NO.,MEMBER STATES,
,,
,Non-Permanent Members,
1,Bolivia,
2,Arab Republic of Egypt,
3,Ukraine,
4,Republic of Cuba,
5,Afghanistan,
6,Kuwait,
7,Netherlands,
8,Islamic Republic of Iran,
9,Brazil,
10,Sweden,
,,
,Permanent Members,
11,China,
12,France,
13,Russian Federation,
14,United Kingdom,
15,United States of America,
,,
,Observers,
16,Republic of India,
17,Israel,
18,Australia,
19,Saudi Arabia,
20,Germany,
21,Japan,
22,Moldova,
23,Iraq,
24,Yemen,
,,
